HSCode,Commodity,value,country,year
17,SUGARS AND SUGAR CONFECTIONERY.,15.92,AFGHANISTAN TIS,2018
30,PHARMACEUTICAL PRODUCTS,80.27,AFGHANISTAN TIS,2018
52,COTTON.,2.38,AFGHANISTAN TIS,2018
73,ARTICLES OF IRON OR STEEL,61.16,AFGHANISTAN TIS,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.08,ALBANIA,2018
30,PHARMACEUTICAL PRODUCTS,0.95,ALBANIA,2018
52,COTTON.,0.02,ALBANIA,2018
73,ARTICLES OF IRON OR STEEL,0.35,ALBANIA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0.06,ALGERIA,2018
26,"ORES, SLAG AND ASH.",0.06,ALGERIA,2018
30,PHARMACEUTICAL PRODUCTS,72.45,ALGERIA,2018
52,COTTON.,8.24,ALGERIA,2018
73,ARTICLES OF IRON OR STEEL,8.54,ALGERIA,2018
30,PHARMACEUTICAL PRODUCTS,0.01,AMERI SAMOA,2018
30,PHARMACEUTICAL PRODUCTS,0.01,ANDORRA,2018
52,COTTON.,0,ANDORRA,2018
73,ARTICLES OF IRON OR STEEL,0.05,ANDORRA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,8.04,ANGOLA,2018
26,"ORES, SLAG AND ASH.",0.07,ANGOLA,2018
30,PHARMACEUTICAL PRODUCTS,51.14,ANGOLA,2018
52,COTTON.,12.64,ANGOLA,2018
73,ARTICLES OF IRON OR STEEL,1.96,ANGOLA,2018
30,PHARMACEUTICAL PRODUCTS,0.01,ANGUILLA,2018
30,PHARMACEUTICAL PRODUCTS,0.13,ANTIGUA,2018
52,COTTON.,0.01,ANTIGUA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,0,ARGENTINA,2018
26,"ORES, SLAG AND ASH.",0.22,ARGENTINA,2018
30,PHARMACEUTICAL PRODUCTS,10.78,ARGENTINA,2018
52,COTTON.,3.06,ARGENTINA,2018
73,ARTICLES OF IRON OR STEEL,9.88,ARGENTINA,2018
30,PHARMACEUTICAL PRODUCTS,0.73,ARMENIA,2018
73,ARTICLES OF IRON OR STEEL,0.01,ARMENIA,2018
30,PHARMACEUTICAL PRODUCTS,0.01,ARUBA,2018
52,COTTON.,0,ARUBA,2018
73,ARTICLES OF IRON OR STEEL,0.23,ARUBA,2018
17,SUGARS AND SUGAR CONFECTIONERY.,2.75,AUSTRALIA,2018
26,"ORES, SLAG AND ASH.",2.46,AUSTRALIA,2018
