HSCode,Commodity,value,country,year
74,COPPER AND ARTICLES THEREOF.,0.36,AFGHANISTAN TIS,2018
74,COPPER AND ARTICLES THEREOF.,1.33,ANGOLA,2018
74,COPPER AND ARTICLES THEREOF.,0.01,ARGENTINA,2018
74,COPPER AND ARTICLES THEREOF.,0.09,ARMENIA,2018
74,COPPER AND ARTICLES THEREOF.,27.74,AUSTRALIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.16,AUSTRALIA,2018
74,COPPER AND ARTICLES THEREOF.,3.9,AUSTRIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.63,AUSTRIA,2018
74,COPPER AND ARTICLES THEREOF.,12.88,BAHARAIN IS,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",9.57,BAHARAIN IS,2018
74,COPPER AND ARTICLES THEREOF.,14.55,BANGLADESH PR,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",104.65,BANGLADESH PR,2018
74,COPPER AND ARTICLES THEREOF.,21.35,BELGIUM,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.28,BELGIUM,2018
74,COPPER AND ARTICLES THEREOF.,3.07,BENIN,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.05,BHUTAN,2018
74,COPPER AND ARTICLES THEREOF.,0.11,BOTSWANA,2018
74,COPPER AND ARTICLES THEREOF.,2.61,BRAZIL,2018
74,COPPER AND ARTICLES THEREOF.,0.46,BULGARIA,2018
74,COPPER AND ARTICLES THEREOF.,0.1,C AFRI REP,2018
74,COPPER AND ARTICLES THEREOF.,16.22,CANADA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",148.89,CANADA,2018
74,COPPER AND ARTICLES THEREOF.,1.03,CAPE VERDE IS,2018
74,COPPER AND ARTICLES THEREOF.,28.52,CHILE,2018
74,COPPER AND ARTICLES THEREOF.,232.35,CHINA P RP,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",7.78,CHINA P RP,2018
74,COPPER AND ARTICLES THEREOF.,0.09,COLOMBIA,2018
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",0.01,COLOMBIA,2018
74,COPPER AND ARTICLES THEREOF.,0.11,COMOROS,2018
74,COPPER AND ARTICLES THEREOF.,0.76,CONGO D. REP.,2018
74,COPPER AND ARTICLES THEREOF.,35.94,CONGO P REP,2018
74,COPPER AND ARTICLES THEREOF.,1.09,COTE D' IVOIRE,2018
74,COPPER AND ARTICLES THEREOF.,0.06,CROATIA,2018
